group_slug	group_name	parent_group	type	icon	color	sort_order	discovery_priority	is_active
gpu-highend	ハイエンドGPU	gpu	gpu	zap	red	10	300	1
gpu-mainstream	主流GPU	gpu	gpu	cpu	orange	20	290	1
gpu-entry	エントリーGPU	gpu	gpu	box	gray	30	280	1
gpu-professional	業務向けGPU	gpu	gpu	briefcase	purple	40	270	1
gpu-integrated	内蔵GPU	gpu	gpu	cpu	blue	50	260	1
cpu-ai	AI向けCPU	cpu	cpu	sparkles	purple	10	200	1
cpu-highend	ハイエンドCPU	cpu	cpu	cpu	red	20	190	1
cpu-mainstream	主流CPU	cpu	cpu	cpu	orange	30	180	1
cpu-entry	エントリーCPU	cpu	cpu	box	gray	40	170	1
cpu-workstation	ワークステーションCPU	cpu	cpu	server	darkred	50	160	1
cpu-arm	ARM系CPU	cpu	cpu	smartphone	cyan	60	150	1
memory-highend	大容量メモリ	memory	memory	memory	red	10	240	1
memory-standard	標準メモリ	memory	memory	memory	orange	20	230	1
memory-entry	最低限メモリ	memory	memory	memory	gray	30	220	1
storage-highend	大容量ストレージ	storage	storage	hard-drive	red	10	250	1
storage-standard	標準ストレージ	storage	storage	hard-drive	orange	20	240	1
storage-fast	高速ストレージ	storage	storage	cpu	purple	30	230	1
usage-ai	AI用途	usage	usage	sparkles	purple	10	1000	1
usage-gaming	ゲーミング用途	usage	usage	gamepad	red	20	900	1
usage-creator	クリエイター用途	usage	usage	pen-tool	purple	30	800	1
usage-business	ビジネス用途	usage	usage	briefcase	blue	40	700	1
usage-mobile	モバイル用途	usage	usage	smartphone	cyan	50	600	1
usage-budget	コスパ用途	usage	usage	badge-dollar-sign	green	60	500	1
device-laptop	ノートPC	device	device	laptop	blue	10	400	1
device-desktop	デスクトップPC	device	device	pc	gray	20	390	1
device-mini	ミニPC	device	device	box	green	30	380	1
device-server	サーバー	device	device	server	darkred	40	350	1
device-workstation	ワークステーション	device	device	cpu	purple	50	360	1
device-mobile	モバイルPC	device	device	smartphone	cyan	60	370	1
monitor-gaming	ゲーミングモニター	monitor	monitor	gauge	red	10	130	1
monitor-creator	クリエイターモニター	monitor	monitor	pen-tool	purple	20	140	1
monitor-business	業務向けモニター	monitor	monitor	briefcase	blue	30	120	1
monitor-ultrawide	ウルトラワイド	monitor	monitor	stretch-horizontal	cyan	40	110	1
monitor-highrefresh	高リフレッシュ	monitor	monitor	zap	orange	50	100	1
monitor-oled	OLEDモニター	monitor	monitor	sparkles	purple	60	90	1
maker-global	海外メーカー	maker	maker	globe	blue	10	100	1
maker-japan	国内メーカー	maker	maker	building	gray	20	90	1
maker-gaming	ゲーミングブランド	maker	maker	gamepad	red	30	80	1
adult-actress	女優系	adult	adult	user	pink	10	1000	1
adult-body	体型・見た目	adult	adult	heart	red	20	900	1
adult-scene	シチュエーション	adult	adult	eye	purple	30	800	1
adult-style	プレイ内容	adult	adult	lock	pink	40	700	1
