ID,ドメイン,キーワードの核,推奨ブログタイトル
ID01,money,貯金・家計・防衛,BiC的マネー戦略室：貯金と家計の生活防衛ガイド
ID02,invest,NISA・積立・配当,BiC的投資分析室：新NISAと資産運用の最適解
ID03,point,還元・マイル・決済,BiC的ポイント攻略室：ポイ活と還元率の極意
ID04,tax,節税・確定申告・控除,BiC的税務戦略室：節税と確定申告の完全マニュアル
ID05,sim,格安SIM・スマホ・通信,BiC的通信コスト削減室：格安SIMとスマホの最適解
ID06,house,住宅ローン・光熱費,BiC的住まい最適化室：住宅ローンと固定費の削減術
ここまでーーーーーーーーーーーーーーーーーーーーーー多分上限に引っかかった
ID07,car,維持費・保険・買取,BiC的カーライフ節約室：車の維持費とリセール戦略
ID08,ins,保険見直し・共済,BiC的保険診断室：掛け捨て・共済・保険の見直し術
ID09,work,副業・スキル・稼ぐ,BiC的収入アップ戦略室：副業と資産収入の作り方
ID10,guide,初心者・ロードマップ,BiC的マネーガイド：お金の貯め方・増やし方教科書
