no	slug	name	title	subtitle	description	seo_title	seo_description	icon_key	theme_key	color_key	priority	visibility	canonical_path	schema_type	og_title	og_description	og_image	is_adult
no	YES	YES	YES	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
no	Identity	Meaning	Presentation	Presentation	Presentation	SEO	SEO	Presentation	Presentation	Presentation	Presentation	Presentation	SEO	SEO	SEO	SEO	SEO	Classification
no	Semantic Slug（主キー）	内部名称・表示名・パンくずなどで利用	ページの代表タイトル	タイトルを補足する短い説明	ページ概要・リード文	HTML <title> 用	meta description 用	アイコン識別子	UIテーマキー	アクセントカラー	表示順・優先順位	公開状態・実験機能管理	Canonical URL	Schema.org Type	OGPタイトル	OGP説明	OGP画像キー	成人向けコンテンツかどうか（true / false）
1	product-monitor	モニター	モニター	用途に合わせたディスプレイ選び	ゲーミング・クリエイター・ビジネスなど、用途に合わせて最適なモニターを比較できます。													0
2	product-desktop	デスクトップPC	デスクトップPC	高性能デスクトップPCを比較	ゲーミング・クリエイティブ・ビジネスまで、用途に応じたデスクトップPCを比較できます。													0
3	product-notebook	ノートPC	ノートPC	持ち運びできる高性能ノートPC	モバイル・ビジネス・クリエイター向けなど、用途別にノートPCを比較できます。													0
4	product-mobile-pc	モバイルPC	モバイルPC	軽量・長時間駆動モデルを比較	外出先でも快適に使える、軽量でバッテリー性能に優れたモバイルPCを比較できます。													0
5	product-mini-pc	ミニPC	ミニPC	コンパクトな省スペースPC	リビング・オフィス・サブPCなど、設置場所を選ばない小型PCを比較できます。													0
6	product-server	サーバー	サーバー	業務・法人向けサーバー	ファイル共有・仮想化・データベースなど、業務用途に適したサーバー構成を比較できます。													0
7	product-workstation	ワークステーション	ワークステーション	専門業務向け高性能PC	CAD・3DCG・AI開発・映像制作など、高負荷な業務に最適なワークステーションを比較できます。													0
8	device-laptop	ノートPC	ノートPC	持ち運びできる高性能ノートPC	モバイル・ビジネス・クリエイター向けなど、用途に応じたノートPCを比較できます。													0
9	device-desktop	デスクトップPC	デスクトップPC	高性能デスクトップPCを比較	ゲーミング・クリエイティブ・ビジネスまで、用途に応じたデスクトップPCを比較できます。													0
10	device-server	サーバー	サーバー	業務・法人向けサーバー	ファイル共有・仮想化・データベースなど、業務用途に適したサーバー構成を比較できます。													0
11	device-workstation	ワークステーション	ワークステーション	専門業務向け高性能PC	CAD・3DCG・AI開発・映像制作など、高負荷な業務に最適なワークステーションを比較できます。													0
12	device-mobile-pc	モバイルPC	モバイルPC	軽量・長時間駆動モデルを比較	外出先でも快適に使える、軽量でバッテリー性能に優れたモバイルPCを比較できます。													0
13	intel-core-ultra-9	Core Ultra 9	Core Ultra 9		最上位のAI・高性能用途向け													0
14	intel-core-ultra-7	Core Ultra 7	Core Ultra 7		高性能ノートPC向け													0
15	intel-core-ultra-5	Core Ultra 5	Core Ultra 5		標準AIノートPC向け													0
16	intel-core-i9	Core i9	Core i9		高性能ゲーミング・クリエイティブ向け													0
17	intel-core-i7	Core i7	Core i7		性能重視の定番モデル向け													0
18	intel-core-i5	Core i5	Core i5		バランス重視の定番モデル向け													0
19	intel-core-i3	Core i3	Core i3		入門・事務用途向け													0
20	amd-ryzen-ai	Ryzen AI	Ryzen AI		生成AI・NPU搭載PC向け													0
21	amd-threadripper	Ryzen Threadripper	Threadripper		制作・解析向け超高性能CPU													0
22	arm-snapdragon-x	Snapdragon X Elite / Plus	Snapdragon X		省電力AIノートPC向け													0
23	amd-ryzen-9	Ryzen 9	Ryzen 9		ハイエンド用途向け													0
24	amd-ryzen-7	Ryzen 7	Ryzen 7		ゲーム・クリエイティブ向け													0
25	amd-ryzen-5	Ryzen 5	Ryzen 5		コストパフォーマンス重視向け													0
26	amd-ryzen-3	Ryzen 3	Ryzen 3		軽作業・入門用途向け													0
27	intel-xeon	Intel Xeon	Xeon		業務・サーバー用途向け													0
28	intel-low-end	Celeron / Pentium	Celeron系		低価格PC・事務用途向け													0
29	cpu-npu	NPU搭載	NPU搭載		AI処理を高速化するNPU搭載													0
30	gpu-rtx-5090	GeForce RTX 5090	RTX 5090		最上位AI・4Kゲーム向け													0
31	gpu-rtx-5080	GeForce RTX 5080	RTX 5080		高性能AI・ゲーム向け													0
32	gpu-rtx-5070-ti	GeForce RTX 5070 Ti	RTX 5070 Ti		高性能ゲーム向け													0
33	gpu-rtx-5070	GeForce RTX 5070	RTX 5070		WQHDゲーム向け													0
34	gpu-rtx-4090	GeForce RTX 4090	RTX 4090		AI・制作向け高性能GPU													0
35	gpu-rtx-4080	GeForce RTX 4080	RTX 4080		4Kゲーム・制作向け													0
36	gpu-rtx-4070-ti	GeForce RTX 4070 Ti	RTX 4070 Ti		高FPSゲーム向け													0
37	gpu-rtx-4070	GeForce RTX 4070	RTX 4070		ゲーム・制作向け													0
38	gpu-rtx-4060-ti	GeForce RTX 4060 Ti	RTX 4060 Ti		定番ゲーム向け													0
39	gpu-rtx-4060	GeForce RTX 4060	RTX 4060		フルHDゲーム向け													0
40	gpu-rtx-4050	GeForce RTX 4050	RTX 4050		入門ゲーミング向け													0
41	gpu-radeon-ai-pro	Radeon AI PRO	Radeon AI PRO		AI開発・業務向け													0
42	gpu-intel-arc	Intel Arc Graphics	Intel Arc		コスパGPU向け													0
43	gpu-intel-graphics	Intel Graphics (内蔵)	Intel内蔵GPU		軽作業・事務向け													0
44	gpu-amd-graphics	AMD Radeon Graphics (内蔵)	Radeon内蔵GPU		軽量ノート向け													0
45	gpu-professional	プロ向け	プロ向けGPU		CAD・制作業務向け													0
46	vram-24gb-plus	24GB以上	24GB以上VRAM		AI・4K制作向け													0
47	vram-16gb	16GB	16GB VRAM		生成AI・高画質向け													0
48	vram-12gb	12GB	12GB VRAM		WQHDゲーム向け													0
49	vram-8gb	8GB	8GB VRAM		定番ゲーム向け													0
50	vram-6gb	6GB	6GB VRAM		入門ゲーム向け													0
51	vram-4gb	4GB以下	4GB以下VRAM		軽作業向け													0
52	mem-64gb-plus	64GB以上（超大容量）	64GB以上メモリ		AI・制作向け													0
53	mem-32gb	32GB（大容量）	32GBメモリ		快適な作業向け													0
54	mem-16gb	16GB（標準）	16GBメモリ		標準的な用途向け													0
55	mem-8gb	8GB（最低限）	8GBメモリ		軽作業向け													0
56	ssd-2tb-plus	2TB以上（超大容量）	2TB以上SSD		大量データ保存向け													0
57	ssd-1tb	1TB（大容量）	1TB SSD		余裕ある保存容量													0
58	ssd-512gb	512GB（標準）	512GB SSD		標準的な容量													0
59	ssd-256gb	256GB（最低限）	256GB SSD		最低限の保存容量													0
60	storage-nvme	NVMe SSD	NVMe SSD		高速な読み書き向け													0
61	storage-sata	SATA SSD	SATA SSD		標準的なSSD構成													0
62	usage-gaming	ゲーミングPC	FPS Gaming	高FPSゲームを快適に	高FPSゲームや最新ゲームを快適に楽しみたい方向け													0
63	usage-creator	クリエイター向け	動画編集	制作をもっとスムーズに	動画編集・画像制作・クリエイティブ用途向け													0
64	usage-business	ビジネス・法人向け	ビジネス	毎日の仕事を快適に	オフィスワーク・事務作業・法人利用向け													0
65	usage-ai	AI・ローカルAI用途	AI画像生成	生成AIをもっと身近に	生成AI・ローカルLLM・AI開発向け													0
66	usage-mobile	モバイル・軽量	軽量モバイル	どこへでも持ち運べる	持ち運びや外出先での利用を重視する方向け													0
