site_key,サイトタイトル案,サイト説明文（紹介文）案
af_portal,AV Flash ポータル｜最新アダルト動画・無料視聴情報まとめ,FANZAやDUGAの最新作、見放題、無料サンプル動画を毎日更新。4K高画質から本日発売の注目作まで、今すぐ見たい配信情報を網羅する総合ポータルです。
af_reserve,新作AV予約速報 2026｜発売予定・先行トレイラー解禁リスト,2026年発売予定の最新作を最速チェック。限定予約、先行予告、舞台裏メイキングなど、独占解禁される新作スケジュールを見逃さないための予約特化ブログ。
af_jukujo,熟れすぎマダムの密会日記｜熟女・人妻・不倫の厳選レビュー,40代〜60代の熟女・人妻専門。割烹着の似合うお母さんから美魔女まで、近所の不倫や密会をテーマにした大人の色香溢れる名作を詳しく紹介します。
af_vr,VRアダルト至近距離体感｜Quest/PICO対応の没入型レビュー,360度パノラマの圧倒的没入感。Meta QuestやPICOで楽しめるVR専用作品を、バイノーラル音響や立体視点の臨場感そのままに詳しく解説します。
af_idol,シンデレラ・アイドル名鑑｜期待の新人と専属美少女の最新作,清純派新人から専属アイドルまで、透明感あふれる美少女をピックアップ。デビュー直後のフレッシュな映像や、美肌・美脚が際立つエース級の作品を紹介。
af_ntr,絶望の寝取られ書庫｜NTR・不倫・略奪の背徳作品レビュー,旦那の前での浮気、略奪愛、嫉妬と屈辱…。人間の業を揺さぶるNTR（寝取られ）ジャンルを専門に、背徳感に満ちた衝撃作を深く掘り下げます。
af_fetish,究極フェチ図鑑｜巨乳・美尻・タイツ・特殊部位の造形美,爆乳、アナル、ストッキング、足コキまで、特定の部位に執着するマニアのためのフェチ専門ブログ。肉体美と特殊な刺激を追求した逸品を厳選。
af_wiki,AV殿堂入りアーカイブ｜歴代の名作・伝説の神回まとめ,語り継がれる伝説の神作から不朽の名シーンまで。AV史に刻まれた最高傑作をアーカイブ化。シリーズの系譜や歴代ランキングも網羅した永久保存版です。
af_nakadashi,生感・中出し衝動レポート｜生ハメ・種付け・大量射精の極致,生本番の熱量、胎内への放出、濃厚な中出し作品を特選。欲望のままに突き進む生実演や、解禁されたばかりのドバドバ発射作品を徹底レビュー。
af_amateur,素人ドキュメント実録｜街角ナンパ・自撮り・裏垢の衝撃,18歳以上の一般人、未経験の純朴な素人、SNS裏垢女子など、日常の裏側に潜むハプニングを記録。等身大のリアリティ溢れる流出・投稿系を紹介。
af_virgin,処女喪失の洗礼｜初めての初夜・無垢な少女の初撮り記録,処女特有の緊張と戸惑い、初めての洗礼。純潔を捧げる初夜の鮮烈な記録を専門に紹介。無垢な少女が女へと開花する通過儀礼の瞬間を追います。
af_jk,放課後の制服メモリーズ｜JK・現役女子高生風の学園名作選,18歳以上の制服美少女専門。放課後の教室、部活動、ブルマやセーラー服…。青春の青い果実たちが魅せる、甘酸っぱくも淫らな学園生活の記録。
af_jd,キャンパスの裏の顔｜女子大生（JD）の秘密の放課後バイト,夜の合コン、女子寮、一人暮らしの誘惑。知的で好奇心旺盛な女子大生たちが、キャンパスライフの裏で見せる大人びた素顔と洗練された情事を紹介。
af_enkou,秘密の援助交際リポート｜パパ活・割り切り・金銭の不純な現場,ホテルでの取引、パパ活女子との生々しい交渉。孤独と金銭で繋がる割り切った関係が生む、非日常的で不純な現場を映し出した衝撃作をレビュー。
af_wakazuma,新婚・若妻の不実な家事｜隣人との不倫・新妻の欲求不満,エプロン姿の献身的な新妻が、寂しさと好奇心から堕ちていく禁忌。団地や隣人とのダブル不倫など、若妻たちの秘密の情事を丁寧に紹介します。
af_nurse,密室の白衣天使｜看護師・女医の禁断の診察・治療ケア,病院の診察室、夜勤のナースコール、白衣に包まれた甘い罠。介抱と治療がいつしか逆転し、強制的な奉仕へと変わるナースたちの禁断のケア。
af_ol,オフィスの残業密会｜OL・女上司とスーツ姿のタイトスカート,スーツの下に隠した淫らな欲望。会議室、給湯室、エレベーター内での社内恋愛。知的でキャリアなOLが、残業中に崩壊していくオフィスラブの極致。
af_chijo,野外露出のスリル｜痴女・ノーパン・公衆の視線と恥辱,公園、ドライブ、青姦。自意識を解き放ち、公衆の視線にさらされる背徳的なスリル。大胆なノーブラ露出から変態的な挑発まで、痴女の解放を追跡。
af_gal,肉食ギャル・バイブス｜黒ギャル・派手ネイル・直感の情事,金髪、日焼け肌、チャラいノリ。欲望に忠実で積極的な肉食ギャルたちの熱い夜。ビキニ姿やキャバ嬢など、バイブス強めの派手め女子を厳選。
af_slender,華奢な肢体美｜スレンダー・貧乳・モデル体型のシルエット,折れそうなほど細い腰、美しい脚、繊細な曲線。微乳・絶壁だからこそ際立つ、透明感あふれるスレンダー美女たちの研ぎ澄まされたエロティシズム。
