group_slug	attribute_slug
usage-test	usage-test
gpu-highend	gpu-rtx-5090
gpu-highend	gpu-rtx-5080
gpu-highend	gpu-rtx-4090
gpu-highend	gpu-radeon-ai-pro
gpu-mainstream	gpu-rtx-5070-ti
gpu-mainstream	gpu-rtx-5070
gpu-mainstream	gpu-rtx-4080
gpu-mainstream	gpu-rtx-4070-ti
gpu-mainstream	gpu-rtx-4070
gpu-mainstream	gpu-intel-arc
gpu-entry	gpu-rtx-4060-ti
gpu-entry	gpu-rtx-4060
gpu-entry	gpu-rtx-4050
gpu-professional	gpu-radeon-ai-pro
gpu-professional	gpu-professional
gpu-integrated	gpu-intel-graphics
gpu-integrated	gpu-amd-graphics
cpu-ai	amd-ryzen-ai
cpu-ai	intel-core-ultra-9
cpu-ai	intel-core-ultra-7
cpu-ai	arm-snapdragon-x
cpu-ai	cpu-npu
cpu-highend	intel-core-ultra-9
cpu-highend	intel-core-i9
cpu-highend	amd-ryzen-9
cpu-highend	amd-threadripper
cpu-mainstream	intel-core-ultra-7
cpu-mainstream	intel-core-ultra-5
cpu-mainstream	intel-core-i7
cpu-mainstream	intel-core-i5
cpu-mainstream	amd-ryzen-7
cpu-mainstream	amd-ryzen-5
cpu-entry	intel-core-i3
cpu-entry	amd-ryzen-3
cpu-entry	intel-low-end
cpu-workstation	amd-threadripper
cpu-workstation	intel-xeon
cpu-arm	arm-snapdragon-x
memory-highend	mem-64gb-plus
memory-standard	mem-32gb
memory-standard	mem-16gb
storage-highend	ssd-2tb-plus
storage-fast	storage-nvme
usage-ai	usage-ai
usage-gaming	usage-gaming
usage-creator	usage-creator
usage-mobile	usage-mobile
usage-mobile	feat-weight-1kg
usage-mobile	feat-weight-1-5kg
device-laptop	device-laptop
device-laptop	product-notebook
device-desktop	device-desktop
device-desktop	product-desktop
device-mini	device-mini-pc
device-mini	product-mini-pc
device-server	device-server
device-server	product-server
device-workstation	device-workstation
device-workstation	product-workstation
device-mobile	device-mobile-pc
monitor-gaming	hz-120hz
monitor-gaming	hz-240hz
monitor-gaming	refresh-500hz
monitor-creator	4k
monitor-creator	panel-oled
monitor-creator	wqhd
monitor-business	fhd
monitor-business	hz-60hz
monitor-business	panel-ips
monitor-ultrawide	aspect-21-9
monitor-ultrawide	aspect-32-9
monitor-highrefresh	hz-120hz
monitor-highrefresh	hz-240hz
monitor-highrefresh	refresh-500hz
monitor-oled	panel-oled
maker-global	maker-asus
maker-global	maker-dell
maker-global	maker-hp
maker-global	maker-lenovo
maker-global	maker-msi
maker-global	maker-acer
maker-global	maker-razer
maker-global	maker-minisforum
maker-global	maker-beelink
maker-japan	maker-nec
maker-japan	maker-fujitsu
maker-japan	maker-dynabook
maker-japan	maker-vaio
maker-japan	maker-mouse
maker-japan	maker-dospara
maker-gaming	maker-msi
maker-gaming	maker-razer
maker-gaming	maker-asus
maker-gaming	maker-acer
maker-gaming	maker-mouse
maker-gaming	maker-dospara
adult-actress	solo-actress
adult-actress	amateur
adult-actress	mature
adult-actress	college-girl
adult-body	big-breasts
adult-body	beautiful-girl
adult-body	slender
adult-body	chubby
adult-scene	cosplay
adult-scene	fetish
adult-scene	public-exposure
adult-scene	nursing
adult-style	creampie
adult-style	sm-bondage
adult-style	squirting
adult-style	female-led
adult-feature	ultra-hd-4k
adult-feature	vr-content
adult-feature	self-shot
adult-feature	ai-analyzed
adult-body	beautiful-breasts
adult-body	big-ass
usage-ai	cpu-npu
